Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df527a863a7b025527f8,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,375,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df52255b08bc27fe606d,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,350,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df529de71eb048a5323b,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,250,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df5200fbd58c1ce0c063,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,400,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df52900576edcba950aa,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,300,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,66699ffa5dc64d180095a853,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,200,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631c49e9cd90b03b89b8ae,6661a861674a3d92361559ee,66631c4ad50d647f38eb4b89,vonolit-armirovannaya-gazobetonnaya-peremychka-pba,Вonolit Армированная газобетонная перемычка ПБА,Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 2.5 Теплопроводность - вт/мхС 0,12",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽800,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:42:17 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:18:11 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631c2a6b7c3dac1c364058,6661a861674a3d92361559ee,66631c2b11a8b5f581ae3c57,vonolit-p-obraznye-ili-u-obraznye-bloki-peremychki-iz-gazobetona,Вonolit п-образные или U-образные блоки (перемычки)из газобетона,Physical,"Марка плотности - 500 кг/м³
класс прочности на сжатие - в 2.5 Теплопроводность - вт/мхС 0,12",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽650,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:41:46 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:18:19 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631c10d271649729a85511,6661a861674a3d92361559ee,66631c11fb76e346e0a89e7a,vonolit-peregorodochnye-bloki-bonolit-ultraprochnye,Вonolit перегородочные блоки (bonolit) ультрапрочные,Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 3.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,14",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽6 900,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:41:20 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:18:40 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631bf30d55152e56f615a9,6661a861674a3d92361559ee,66631bf4c278ff054e2f3126,vonolit-peregorodochnye-bloki-bonolit,Вonolit перегородочные блоки (ровные),Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 2.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,12",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽6 600,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:40:51 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 18:43:22 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 18:43:27 GMT+0000 (Coordinated Universal Time)
